run,K,sw,lambda,T,B,Z,zone_len_min,zone_len_max,zone_len_mean,change_points_count,merged_zones_count,total_F,total_R,F_ratio,F_mean_per_block,F_std_per_block,R_mean_per_block,cost_mean_per_block,cost_std_per_block,cost_sum_all_blocks,k_mean,k1_count,k2_count,k3_count,k4_count,I_cut_mean,I_cut_std,I_l1cos_mean,I_l1cos_std,Delta_abs_mean,Delta_abs_max
sweep_K15_sw3_lam0.25,15,3,0.25,200,25,12,2,64,16.666667,15,12,1353,3647,0.2706,54.12,0.430813,145.88,1.075831,0.140226,26.895769,3.49,1,51,48,200,0.03370112,0.03248192,0.04078472,0.02707491,0.00317882,0.08741429
sweep_K15_sw3_lam0.5,15,3,0.5,200,25,12,2,64,16.666667,15,12,1351,3649,0.2702,54.04,0.195959,145.96,2.033899,0.15228,50.847487,3.496667,0,51,49,200,0.03370112,0.03248192,0.04078472,0.02707491,0.00317882,0.08741429
sweep_K15_sw3_lam1.0,15,3,1.0,200,25,12,2,64,16.666667,15,12,1351,3649,0.2702,54.04,0.195959,145.96,3.947347,0.173004,98.683665,3.496667,0,51,49,200,0.03370112,0.03248192,0.04078472,0.02707491,0.00317882,0.08741429
sweep_K15_sw3_lam2.0,15,3,2.0,200,25,12,2,64,16.666667,15,12,1350,3650,0.27,54.0,0.0,146.0,7.760907,0.173004,194.022686,3.5,0,50,50,200,0.03370112,0.03248192,0.04078472,0.02707491,0.00317882,0.08741429
sweep_K20_sw3_lam0.25,20,3,0.25,200,25,15,2,61,13.333333,20,15,1378,3622,0.2756,55.12,0.430813,144.88,1.369411,0.179233,34.235264,3.392,1,76,73,225,0.03370112,0.03248192,0.04078472,0.02707491,0.00317882,0.08741429
sweep_K20_sw3_lam0.5,20,3,0.5,200,25,15,2,61,13.333333,20,15,1376,3624,0.2752,55.04,0.195959,144.96,2.590474,0.191386,64.761842,3.397333,0,76,74,225,0.03370112,0.03248192,0.04078472,0.02707491,0.00317882,0.08741429
sweep_K20_sw3_lam1.0,20,3,1.0,200,25,15,2,61,13.333333,20,15,1376,3624,0.2752,55.04,0.195959,144.96,5.02991,0.21173,125.747739,3.397333,0,76,74,225,0.03370112,0.03248192,0.04078472,0.02707491,0.00317882,0.08741429
sweep_K20_sw3_lam2.0,20,3,2.0,200,25,15,2,61,13.333333,20,15,1375,3625,0.275,55.0,0.0,145.0,9.895448,0.21173,247.386201,3.4,0,75,75,225,0.03370112,0.03248192,0.04078472,0.02707491,0.00317882,0.08741429
