,t_99,t_98,t_97,t_96,t_95,t_94,t_93,t_92,t_91,t_90,t_89,t_88,t_87,t_86,t_85,t_84,t_83,t_82,t_81,t_80,t_79,t_78,t_77,t_76,t_75,t_74,t_73,t_72,t_71,t_70,t_69,t_68,t_67,t_66,t_65,t_64,t_63,t_62,t_61,t_60,t_59,t_58,t_57,t_56,t_55,t_54,t_53,t_52,t_51,t_50,t_49,t_48,t_47,t_46,t_45,t_44,t_43,t_42,t_41,t_40,t_39,t_38,t_37,t_36,t_35,t_34,t_33,t_32,t_31,t_30,t_29,t_28,t_27,t_26,t_25,t_24,t_23,t_22,t_21,t_20,t_19,t_18,t_17,t_16,t_15,t_14,t_13,t_12,t_11,t_10,t_9,t_8,t_7,t_6,t_5,t_4,t_3,t_2,t_1,t_0
t_89,0.7568359375,0.73291015625,0.7076171875,0.6728515625,0.63408203125,0.5859375,0.533203125,0.47509765625,0.3962890625,0.288671875,0.0,0.291259765625,0.402001953125,0.48974609375,0.55263671875,0.6103515625,0.66318359375,0.71318359375,0.74775390625,0.7814453125,0.814453125,0.8421875,0.8708984375,0.8990234375,0.922265625,0.9458984375,0.96640625,0.9908203125,1.0109375,1.0291015625,1.0470703125,1.065625,1.080078125,1.09609375,1.108203125,1.12265625,1.131640625,1.14453125,1.1556640625,1.1681640625,1.18046875,1.191015625,1.1990234375,1.208203125,1.21953125,1.2283203125,1.2380859375,1.2466796875,1.2541015625,1.2634765625,1.2708984375,1.2779296875,1.28359375,1.290234375,1.295703125,1.3005859375,1.305078125,1.3115234375,1.3154296875,1.3203125,1.322265625,1.326171875,1.3306640625,1.3326171875,1.3357421875,1.3384765625,1.3419921875,1.3447265625,1.3482421875,1.350390625,1.35234375,1.3546875,1.3564453125,1.357421875,1.3587890625,1.360546875,1.3619140625,1.3634765625,1.364453125,1.366015625,1.3671875,1.3677734375,1.369140625,1.3703125,1.370703125,1.3720703125,1.373046875,1.3734375,1.3748046875,1.37578125,1.376953125,1.3779296875,1.3787109375,1.3794921875,1.3798828125,1.38046875,1.3818359375,1.3822265625,1.38359375,1.38671875
t_88,0.7935546875,0.7720703125,0.7494140625,0.7177734375,0.682421875,0.63994140625,0.59423828125,0.54482421875,0.48056640625,0.40087890625,0.291259765625,0.0,0.292333984375,0.407421875,0.48662109375,0.5546875,0.61455078125,0.6708984375,0.709375,0.74677734375,0.78359375,0.8130859375,0.8453125,0.8765625,0.9021484375,0.926953125,0.948828125,0.9751953125,0.995703125,1.01484375,1.0341796875,1.0525390625,1.06875,1.085546875,1.0982421875,1.11328125,1.1228515625,1.1361328125,1.148046875,1.1607421875,1.1736328125,1.1845703125,1.1931640625,1.2021484375,1.2142578125,1.2232421875,1.2328125,1.2421875,1.25,1.2591796875,1.2671875,1.2744140625,1.2802734375,1.28671875,1.292578125,1.2974609375,1.30234375,1.30859375,1.312890625,1.3181640625,1.3203125,1.324609375,1.3291015625,1.3310546875,1.3341796875,1.3369140625,1.3404296875,1.34296875,1.3462890625,1.3484375,1.35078125,1.3529296875,1.3544921875,1.3560546875,1.3576171875,1.359375,1.3607421875,1.362109375,1.3634765625,1.36484375,1.3662109375,1.366796875,1.36796875,1.369140625,1.369921875,1.37109375,1.3720703125,1.372265625,1.373828125,1.374609375,1.3755859375,1.3767578125,1.37734375,1.378125,1.37890625,1.379296875,1.38046875,1.3810546875,1.3828125,1.3853515625
t_87,0.8224609375,0.80263671875,0.78125,0.75205078125,0.7203125,0.68115234375,0.64150390625,0.5994140625,0.5447265625,0.4802734375,0.402001953125,0.292333984375,0.0,0.29755859375,0.40859375,0.49052734375,0.56162109375,0.62646484375,0.6708984375,0.712890625,0.75390625,0.7861328125,0.8205078125,0.852734375,0.880078125,0.906640625,0.93046875,0.958203125,0.980859375,1.00078125,1.0208984375,1.0400390625,1.0568359375,1.0744140625,1.0876953125,1.103125,1.1138671875,1.12734375,1.139453125,1.153125,1.1662109375,1.177734375,1.1869140625,1.1962890625,1.2083984375,1.2181640625,1.2279296875,1.2369140625,1.2455078125,1.255078125,1.26328125,1.2708984375,1.276953125,1.28359375,1.2900390625,1.2951171875,1.300390625,1.30703125,1.3111328125,1.31640625,1.3185546875,1.3228515625,1.32734375,1.3298828125,1.3330078125,1.335546875,1.3392578125,1.34140625,1.3453125,1.34765625,1.349609375,1.3517578125,1.353515625,1.3548828125,1.356640625,1.3580078125,1.3591796875,1.3611328125,1.3623046875,1.3638671875,1.36484375,1.3658203125,1.3671875,1.3681640625,1.3685546875,1.3701171875,1.37109375,1.371484375,1.3732421875,1.373828125,1.375,1.376171875,1.3765625,1.3775390625,1.378125,1.37890625,1.3798828125,1.3802734375,1.38203125,1.384765625
t_86,0.8568359375,0.8388671875,0.81953125,0.7921875,0.762890625,0.72783203125,0.691796875,0.65361328125,0.60498046875,0.55146484375,0.48974609375,0.407421875,0.29755859375,0.0,0.298974609375,0.41328125,0.4994140625,0.5732421875,0.62490234375,0.67314453125,0.7177734375,0.753515625,0.79072265625,0.8251953125,0.8548828125,0.8826171875,0.9091796875,0.9392578125,0.96328125,0.9849609375,1.0068359375,1.027734375,1.0453125,1.0640625,1.078125,1.0939453125,1.1046875,1.119140625,1.1314453125,1.1453125,1.158984375,1.1708984375,1.1798828125,1.1900390625,1.202734375,1.2126953125,1.2228515625,1.232421875,1.241015625,1.25078125,1.259375,1.2671875,1.2734375,1.28046875,1.2869140625,1.2919921875,1.29765625,1.304296875,1.308984375,1.314453125,1.316796875,1.32109375,1.3255859375,1.3283203125,1.331640625,1.334375,1.3376953125,1.340625,1.344140625,1.346484375,1.3486328125,1.3509765625,1.3525390625,1.35390625,1.3556640625,1.3572265625,1.3587890625,1.3603515625,1.36171875,1.36328125,1.3640625,1.3650390625,1.366015625,1.3673828125,1.3681640625,1.36953125,1.3705078125,1.3712890625,1.372265625,1.3732421875,1.37421875,1.375390625,1.3759765625,1.376953125,1.37734375,1.378125,1.379296875,1.3798828125,1.3814453125,1.384375
t_85,0.88203125,0.8654296875,0.8474609375,0.821484375,0.793359375,0.76142578125,0.7283203125,0.694140625,0.649609375,0.60361328125,0.55263671875,0.48662109375,0.40859375,0.298974609375,0.0,0.30048828125,0.41630859375,0.50556640625,0.56904296875,0.62578125,0.67666015625,0.71689453125,0.75791015625,0.79677734375,0.8283203125,0.8583984375,0.8875,0.919140625,0.943359375,0.9669921875,0.9900390625,1.0125,1.0318359375,1.05078125,1.0654296875,1.0826171875,1.094140625,1.1091796875,1.122265625,1.136328125,1.1501953125,1.1626953125,1.1724609375,1.1830078125,1.19609375,1.2060546875,1.2162109375,1.22578125,1.2353515625,1.2455078125,1.254296875,1.2625,1.269140625,1.2765625,1.2830078125,1.288671875,1.294140625,1.3009765625,1.3060546875,1.31171875,1.3140625,1.3185546875,1.3234375,1.32578125,1.32890625,1.331640625,1.33515625,1.33828125,1.3419921875,1.3443359375,1.346484375,1.3486328125,1.35078125,1.351953125,1.3537109375,1.35546875,1.356640625,1.3583984375,1.359765625,1.3609375,1.3619140625,1.3630859375,1.3640625,1.3654296875,1.3658203125,1.3671875,1.3681640625,1.369140625,1.3701171875,1.37109375,1.3720703125,1.3732421875,1.373828125,1.3744140625,1.3751953125,1.37578125,1.3771484375,1.377734375,1.37890625,1.3822265625
t_84,0.9087890625,0.8935546875,0.8763671875,0.8517578125,0.82578125,0.7970703125,0.76669921875,0.7353515625,0.69541015625,0.6537109375,0.6103515625,0.5546875,0.49052734375,0.41328125,0.30048828125,0.0,0.304296875,0.424609375,0.50439453125,0.5716796875,0.630859375,0.67578125,0.72138671875,0.76376953125,0.798046875,0.830859375,0.8625,0.896484375,0.92265625,0.94765625,0.972265625,0.9958984375,1.016796875,1.0369140625,1.0529296875,1.0705078125,1.0826171875,1.0982421875,1.112109375,1.1265625,1.1412109375,1.15390625,1.164453125,1.1755859375,1.1890625,1.1994140625,1.2103515625,1.2208984375,1.2302734375,1.24140625,1.25,1.2583984375,1.265234375,1.2728515625,1.2796875,1.285546875,1.2912109375,1.2984375,1.3037109375,1.309375,1.312109375,1.3162109375,1.32109375,1.3236328125,1.326953125,1.3294921875,1.333203125,1.336328125,1.340234375,1.3427734375,1.3451171875,1.347265625,1.3490234375,1.3505859375,1.3525390625,1.3541015625,1.3552734375,1.3576171875,1.3583984375,1.3599609375,1.3609375,1.3619140625,1.36328125,1.3642578125,1.3650390625,1.36640625,1.3671875,1.368359375,1.36953125,1.3703125,1.37109375,1.372265625,1.3728515625,1.373828125,1.3744140625,1.3748046875,1.3759765625,1.3767578125,1.378125,1.3810546875
t_83,0.93515625,0.92109375,0.9052734375,0.881640625,0.8580078125,0.8306640625,0.8025390625,0.7740234375,0.738671875,0.70146484375,0.66318359375,0.61455078125,0.56162109375,0.4994140625,0.41630859375,0.304296875,0.0,0.307568359375,0.42197265625,0.5064453125,0.57822265625,0.63154296875,0.68212890625,0.729296875,0.7681640625,0.8033203125,0.8373046875,0.873046875,0.901171875,0.928125,0.9546875,0.9798828125,1.0021484375,1.02421875,1.040625,1.0595703125,1.072265625,1.0884765625,1.102734375,1.11796875,1.1330078125,1.1455078125,1.15703125,1.1689453125,1.183203125,1.194140625,1.2052734375,1.216015625,1.2263671875,1.2373046875,1.2466796875,1.255078125,1.2626953125,1.2705078125,1.27734375,1.283203125,1.2892578125,1.296484375,1.301953125,1.3072265625,1.31015625,1.31484375,1.3197265625,1.3220703125,1.325390625,1.3287109375,1.3322265625,1.335546875,1.3392578125,1.3416015625,1.34453125,1.346875,1.3484375,1.3498046875,1.3517578125,1.3537109375,1.3548828125,1.3568359375,1.3580078125,1.359375,1.3603515625,1.361328125,1.3625,1.3634765625,1.3640625,1.3654296875,1.3666015625,1.367578125,1.36875,1.369921875,1.3705078125,1.371484375,1.372265625,1.3728515625,1.373828125,1.37421875,1.375390625,1.3763671875,1.377734375,1.38046875
t_82,0.962109375,0.948828125,0.9345703125,0.9125,0.8900390625,0.8646484375,0.8384765625,0.8123046875,0.77978515625,0.74658203125,0.71318359375,0.6708984375,0.62646484375,0.5732421875,0.50556640625,0.424609375,0.307568359375,0.0,0.3076171875,0.4265625,0.5142578125,0.5771484375,0.6361328125,0.6892578125,0.73310546875,0.772265625,0.80869140625,0.8466796875,0.8765625,0.90546875,0.9345703125,0.96171875,0.985546875,1.0087890625,1.026171875,1.046484375,1.06015625,1.0763671875,1.0912109375,1.10703125,1.123046875,1.136328125,1.1486328125,1.1609375,1.176171875,1.187109375,1.1994140625,1.2103515625,1.221484375,1.2328125,1.2423828125,1.2513671875,1.2591796875,1.266796875,1.27421875,1.28046875,1.287109375,1.29453125,1.2998046875,1.3056640625,1.3087890625,1.3138671875,1.3185546875,1.321484375,1.325,1.3279296875,1.33125,1.334375,1.3384765625,1.341015625,1.34375,1.34609375,1.348046875,1.3494140625,1.3513671875,1.353515625,1.3544921875,1.356640625,1.3580078125,1.358984375,1.36015625,1.3611328125,1.3625,1.36328125,1.3640625,1.3654296875,1.36640625,1.3673828125,1.3685546875,1.3693359375,1.3703125,1.3708984375,1.3720703125,1.3724609375,1.3732421875,1.3736328125,1.375,1.3759765625,1.3771484375,1.380078125
t_81,0.9794921875,0.9673828125,0.9533203125,0.9330078125,0.9119140625,0.888671875,0.8634765625,0.839453125,0.80966796875,0.7787109375,0.74775390625,0.709375,0.6708984375,0.62490234375,0.56904296875,0.50439453125,0.42197265625,0.3076171875,0.0,0.31181640625,0.43310546875,0.51240234375,0.58310546875,0.643359375,0.69560546875,0.73896484375,0.7791015625,0.819921875,0.8517578125,0.883203125,0.9142578125,0.9427734375,0.96796875,0.9927734375,1.0107421875,1.0322265625,1.0466796875,1.0642578125,1.0796875,1.096875,1.1130859375,1.1267578125,1.13984375,1.152734375,1.168359375,1.1802734375,1.19296875,1.20390625,1.215234375,1.226953125,1.23671875,1.2466796875,1.254296875,1.262890625,1.2705078125,1.2767578125,1.283203125,1.2908203125,1.2966796875,1.302734375,1.305859375,1.3109375,1.316015625,1.319140625,1.322265625,1.3255859375,1.329296875,1.3322265625,1.3365234375,1.339453125,1.3421875,1.3447265625,1.3466796875,1.3484375,1.3501953125,1.35234375,1.3533203125,1.355078125,1.3564453125,1.3578125,1.3587890625,1.3599609375,1.3611328125,1.3625,1.3626953125,1.3640625,1.3654296875,1.3662109375,1.3677734375,1.368359375,1.3689453125,1.3697265625,1.370703125,1.371484375,1.37265625,1.373046875,1.3740234375,1.374609375,1.3759765625,1.3791015625
t_80,0.9974609375,0.9859375,0.973046875,0.953515625,0.934375,0.9125,0.888671875,0.86640625,0.83828125,0.8091796875,0.7814453125,0.74677734375,0.712890625,0.67314453125,0.62578125,0.5716796875,0.5064453125,0.4265625,0.31181640625,0.0,0.318798828125,0.432421875,0.5201171875,0.5912109375,0.65087890625,0.70087890625,0.7458984375,0.7892578125,0.8248046875,0.8587890625,0.893359375,0.9240234375,0.9509765625,0.9771484375,0.996484375,1.0193359375,1.0345703125,1.053515625,1.069921875,1.0880859375,1.105078125,1.1193359375,1.1326171875,1.14609375,1.1623046875,1.174609375,1.187890625,1.19921875,1.2109375,1.2236328125,1.2337890625,1.243359375,1.2517578125,1.26015625,1.26796875,1.2744140625,1.28125,1.2892578125,1.29453125,1.30078125,1.3041015625,1.309375,1.314453125,1.3177734375,1.321484375,1.324609375,1.328515625,1.3318359375,1.3357421875,1.3390625,1.341796875,1.3439453125,1.34609375,1.3478515625,1.349609375,1.3515625,1.352734375,1.354296875,1.3560546875,1.357421875,1.3583984375,1.359765625,1.3607421875,1.3619140625,1.3625,1.363671875,1.3650390625,1.3658203125,1.3671875,1.3677734375,1.36875,1.3693359375,1.3703125,1.3712890625,1.372265625,1.3724609375,1.3732421875,1.3744140625,1.375390625,1.3783203125
t_79,1.01484375,1.004296875,0.9927734375,0.97421875,0.9560546875,0.935546875,0.9138671875,0.8931640625,0.8669921875,0.840234375,0.814453125,0.78359375,0.75390625,0.7177734375,0.67666015625,0.630859375,0.57822265625,0.5142578125,0.43310546875,0.318798828125,0.0,0.312744140625,0.433203125,0.524609375,0.59482421875,0.652734375,0.70390625,0.751953125,0.79150390625,0.8298828125,0.86640625,0.899609375,0.9294921875,0.9572265625,0.9779296875,1.001953125,1.0185546875,1.038671875,1.0564453125,1.075390625,1.0923828125,1.107421875,1.1212890625,1.1353515625,1.15234375,1.165234375,1.17890625,1.190625,1.202734375,1.2158203125,1.2265625,1.23671875,1.2458984375,1.2546875,1.262890625,1.2697265625,1.2765625,1.284765625,1.290625,1.296875,1.3005859375,1.3060546875,1.311328125,1.31484375,1.318359375,1.3216796875,1.3255859375,1.3287109375,1.3328125,1.336328125,1.3392578125,1.34140625,1.3435546875,1.3453125,1.3474609375,1.34921875,1.3505859375,1.3521484375,1.3537109375,1.35546875,1.356640625,1.3578125,1.358984375,1.359765625,1.360546875,1.36171875,1.3630859375,1.3638671875,1.365234375,1.366015625,1.36640625,1.367578125,1.36796875,1.3693359375,1.3697265625,1.369921875,1.3716796875,1.37265625,1.3736328125,1.3765625
t_78,1.0302734375,1.0203125,1.009375,0.991796875,0.9748046875,0.9548828125,0.934375,0.915234375,0.891015625,0.8658203125,0.8421875,0.8130859375,0.7861328125,0.753515625,0.71689453125,0.67578125,0.63154296875,0.5771484375,0.51240234375,0.432421875,0.312744140625,0.0,0.319287109375,0.44521484375,0.53408203125,0.60390625,0.66201171875,0.71591796875,0.75908203125,0.8005859375,0.8404296875,0.8751953125,0.9076171875,0.9380859375,0.9599609375,0.9859375,1.003125,1.0236328125,1.042578125,1.0619140625,1.0798828125,1.09609375,1.1109375,1.125390625,1.142578125,1.1560546875,1.1705078125,1.183203125,1.1958984375,1.209375,1.2205078125,1.2314453125,1.240625,1.2498046875,1.2576171875,1.2654296875,1.2728515625,1.2810546875,1.287109375,1.293359375,1.297265625,1.3029296875,1.308203125,1.312109375,1.3154296875,1.3193359375,1.323046875,1.3265625,1.3310546875,1.3345703125,1.3375,1.3400390625,1.3423828125,1.344140625,1.34609375,1.348046875,1.3494140625,1.3509765625,1.3525390625,1.35390625,1.35546875,1.356640625,1.3580078125,1.358984375,1.359375,1.3609375,1.3625,1.3630859375,1.3646484375,1.365234375,1.365625,1.3666015625,1.367578125,1.368359375,1.369140625,1.3697265625,1.3708984375,1.371484375,1.3728515625,1.3759765625
t_77,1.046875,1.0375,1.0271484375,1.0103515625,0.9939453125,0.975390625,0.956640625,0.9388671875,0.9162109375,0.8931640625,0.8708984375,0.8453125,0.8205078125,0.79072265625,0.75791015625,0.72138671875,0.68212890625,0.6361328125,0.58310546875,0.5201171875,0.433203125,0.319287109375,0.0,0.3271484375,0.4501953125,0.53759765625,0.60673828125,0.6693359375,0.717578125,0.7640625,0.8083984375,0.846484375,0.881640625,0.913671875,0.9373046875,0.96484375,0.9833984375,1.0056640625,1.0251953125,1.04609375,1.065234375,1.0830078125,1.0982421875,1.11328125,1.13125,1.145703125,1.1603515625,1.1732421875,1.1865234375,1.200390625,1.212109375,1.223046875,1.2330078125,1.24296875,1.2509765625,1.259375,1.26640625,1.2751953125,1.2814453125,1.2880859375,1.291796875,1.2978515625,1.3033203125,1.3072265625,1.311328125,1.31484375,1.3189453125,1.3224609375,1.3271484375,1.3310546875,1.3337890625,1.336328125,1.338671875,1.340625,1.3427734375,1.3451171875,1.3462890625,1.348046875,1.35,1.3513671875,1.3529296875,1.3541015625,1.3552734375,1.35625,1.35703125,1.3583984375,1.3599609375,1.3609375,1.3623046875,1.3630859375,1.363671875,1.3642578125,1.3654296875,1.3662109375,1.3669921875,1.3673828125,1.36875,1.36953125,1.370703125,1.373828125
t_76,1.062890625,1.0541015625,1.0443359375,1.028125,1.0126953125,0.9955078125,0.9779296875,0.9607421875,0.9400390625,0.9197265625,0.8990234375,0.8765625,0.852734375,0.8251953125,0.79677734375,0.76376953125,0.729296875,0.6892578125,0.643359375,0.5912109375,0.524609375,0.44521484375,0.3271484375,0.0,0.327783203125,0.45009765625,0.53857421875,0.61142578125,0.6701171875,0.72294921875,0.77080078125,0.8125,0.85078125,0.8859375,0.911328125,0.9412109375,0.961328125,0.9859375,1.006640625,1.0291015625,1.049609375,1.06875,1.0853515625,1.1009765625,1.1197265625,1.134765625,1.150390625,1.1638671875,1.1775390625,1.1921875,1.2044921875,1.2162109375,1.226171875,1.23671875,1.244921875,1.25390625,1.261328125,1.269921875,1.2763671875,1.283203125,1.2873046875,1.2939453125,1.29921875,1.3033203125,1.3072265625,1.3109375,1.315234375,1.3189453125,1.3236328125,1.3275390625,1.330078125,1.3326171875,1.3353515625,1.337109375,1.339453125,1.3419921875,1.3431640625,1.3453125,1.3470703125,1.3486328125,1.3501953125,1.351171875,1.3525390625,1.3537109375,1.3546875,1.355859375,1.357421875,1.358203125,1.3595703125,1.3603515625,1.3611328125,1.3619140625,1.3630859375,1.3638671875,1.36484375,1.3650390625,1.36640625,1.3673828125,1.368359375,1.371484375
t_75,1.0765625,1.0681640625,1.05859375,1.0431640625,1.02890625,1.0125,0.995703125,0.9796875,0.96015625,0.94140625,0.922265625,0.9021484375,0.880078125,0.8548828125,0.8283203125,0.798046875,0.7681640625,0.73310546875,0.69560546875,0.65087890625,0.59482421875,0.53408203125,0.4501953125,0.327783203125,0.0,0.328759765625,0.4537109375,0.54404296875,0.6142578125,0.67490234375,0.72958984375,0.77646484375,0.8177734375,0.8564453125,0.884765625,0.9171875,0.9400390625,0.9658203125,0.988671875,1.01171875,1.0333984375,1.05390625,1.0712890625,1.0876953125,1.1076171875,1.1232421875,1.1392578125,1.1533203125,1.1669921875,1.1826171875,1.1951171875,1.2072265625,1.21796875,1.22890625,1.2380859375,1.247265625,1.25546875,1.2640625,1.2708984375,1.2783203125,1.282421875,1.2888671875,1.2943359375,1.2986328125,1.3029296875,1.306640625,1.3115234375,1.3150390625,1.3201171875,1.3236328125,1.3265625,1.3294921875,1.33203125,1.3341796875,1.33671875,1.338671875,1.3404296875,1.3423828125,1.3443359375,1.345703125,1.347265625,1.3486328125,1.3498046875,1.351171875,1.3515625,1.3533203125,1.3548828125,1.355859375,1.3572265625,1.3583984375,1.35859375,1.359375,1.360546875,1.3615234375,1.3625,1.362890625,1.3642578125,1.365234375,1.36640625,1.369140625
t_74,1.0912109375,1.0833984375,1.0744140625,1.0599609375,1.0462890625,1.0306640625,1.0142578125,0.998828125,0.9806640625,0.9638671875,0.9458984375,0.926953125,0.906640625,0.8826171875,0.8583984375,0.830859375,0.8033203125,0.772265625,0.73896484375,0.70087890625,0.652734375,0.60390625,0.53759765625,0.45009765625,0.328759765625,0.0,0.33525390625,0.4607421875,0.546484375,0.61767578125,0.68095703125,0.73349609375,0.78046875,0.8234375,0.8548828125,0.88984375,0.9154296875,0.94296875,0.967578125,0.9923828125,1.0154296875,1.0369140625,1.0552734375,1.073046875,1.0931640625,1.109765625,1.1267578125,1.141015625,1.155859375,1.171875,1.18515625,1.197265625,1.208984375,1.2201171875,1.230078125,1.239453125,1.2478515625,1.2568359375,1.2640625,1.2712890625,1.2759765625,1.2826171875,1.2884765625,1.2927734375,1.297265625,1.301171875,1.3060546875,1.309765625,1.315234375,1.31875,1.3216796875,1.324609375,1.3275390625,1.3298828125,1.3322265625,1.3345703125,1.3359375,1.3380859375,1.33984375,1.3416015625,1.3431640625,1.34453125,1.345703125,1.3470703125,1.3478515625,1.3494140625,1.35078125,1.351953125,1.353125,1.3541015625,1.355078125,1.355859375,1.3568359375,1.3578125,1.35859375,1.3591796875,1.360546875,1.3611328125,1.362890625,1.365625
t_73,1.1044921875,1.096875,1.0890625,1.075,1.0623046875,1.0470703125,1.0318359375,1.0171875,0.999609375,0.9837890625,0.96640625,0.948828125,0.93046875,0.9091796875,0.8875,0.8625,0.8373046875,0.80869140625,0.7791015625,0.7458984375,0.70390625,0.66201171875,0.60673828125,0.53857421875,0.4537109375,0.33525390625,0.0,0.338134765625,0.4619140625,0.552734375,0.62802734375,0.6880859375,0.74072265625,0.78740234375,0.8224609375,0.860546875,0.88828125,0.9171875,0.9439453125,0.970703125,0.9955078125,1.0185546875,1.0390625,1.0572265625,1.0787109375,1.0962890625,1.1134765625,1.1283203125,1.1435546875,1.160546875,1.1744140625,1.1873046875,1.19921875,1.2107421875,1.2212890625,1.23125,1.23984375,1.2490234375,1.25703125,1.2646484375,1.269140625,1.2755859375,1.281640625,1.2865234375,1.291015625,1.2955078125,1.300390625,1.304296875,1.3095703125,1.313671875,1.316796875,1.319921875,1.3228515625,1.3248046875,1.3279296875,1.330078125,1.3314453125,1.333984375,1.335546875,1.337109375,1.338671875,1.3400390625,1.34140625,1.3427734375,1.343359375,1.344921875,1.3466796875,1.34765625,1.3490234375,1.35,1.3505859375,1.3517578125,1.352734375,1.3537109375,1.3546875,1.3552734375,1.3564453125,1.3578125,1.358984375,1.3619140625
t_72,1.119140625,1.112109375,1.1044921875,1.09140625,1.0798828125,1.065625,1.051171875,1.0376953125,1.021875,1.00703125,0.9908203125,0.9751953125,0.958203125,0.9392578125,0.919140625,0.896484375,0.873046875,0.8466796875,0.819921875,0.7892578125,0.751953125,0.71591796875,0.6693359375,0.61142578125,0.54404296875,0.4607421875,0.338134765625,0.0,0.336767578125,0.4630859375,0.55771484375,0.63017578125,0.69267578125,0.74560546875,0.78505859375,0.8271484375,0.8578125,0.8896484375,0.91875,0.9482421875,0.975,1.0,1.0216796875,1.0408203125,1.0630859375,1.0814453125,1.0998046875,1.115234375,1.13203125,1.1494140625,1.1638671875,1.1775390625,1.189453125,1.201953125,1.2123046875,1.2232421875,1.232421875,1.241796875,1.25,1.2578125,1.2625,1.269140625,1.275390625,1.2802734375,1.2849609375,1.2896484375,1.2947265625,1.298828125,1.304296875,1.3083984375,1.31171875,1.3150390625,1.317578125,1.3201171875,1.3232421875,1.3251953125,1.3267578125,1.32890625,1.330859375,1.332421875,1.333984375,1.3357421875,1.3369140625,1.33828125,1.3388671875,1.340625,1.3421875,1.343359375,1.34453125,1.345703125,1.3462890625,1.347265625,1.3482421875,1.3494140625,1.350390625,1.351171875,1.35234375,1.353515625,1.3552734375,1.358203125
t_71,1.13046875,1.12421875,1.1171875,1.104296875,1.0935546875,1.08046875,1.0669921875,1.054296875,1.03984375,1.0259765625,1.0109375,0.995703125,0.980859375,0.96328125,0.943359375,0.92265625,0.901171875,0.8765625,0.8517578125,0.8248046875,0.79150390625,0.75908203125,0.717578125,0.6701171875,0.6142578125,0.546484375,0.4619140625,0.336767578125,0.0,0.3396484375,0.471484375,0.56328125,0.63681640625,0.6962890625,0.741015625,0.78896484375,0.8244140625,0.859765625,0.8923828125,0.9236328125,0.9517578125,0.9783203125,1.0009765625,1.0212890625,1.044921875,1.0642578125,1.083984375,1.1001953125,1.1177734375,1.136328125,1.151171875,1.165625,1.17890625,1.19140625,1.2025390625,1.2134765625,1.223046875,1.2333984375,1.2416015625,1.249609375,1.2548828125,1.2615234375,1.2681640625,1.2734375,1.2787109375,1.283203125,1.2884765625,1.29296875,1.2984375,1.3029296875,1.30625,1.309375,1.3125,1.3150390625,1.31796875,1.3203125,1.322265625,1.3244140625,1.3263671875,1.328125,1.3296875,1.3314453125,1.3326171875,1.3341796875,1.3345703125,1.3361328125,1.337890625,1.3390625,1.3404296875,1.34140625,1.3423828125,1.3431640625,1.3443359375,1.3453125,1.346484375,1.3470703125,1.3484375,1.3498046875,1.351171875,1.3541015625
t_70,1.141796875,1.1361328125,1.1294921875,1.117578125,1.1072265625,1.09453125,1.0822265625,1.0703125,1.05625,1.04296875,1.0291015625,1.01484375,1.00078125,0.9849609375,0.9669921875,0.94765625,0.928125,0.90546875,0.883203125,0.8587890625,0.8298828125,0.8005859375,0.7640625,0.72294921875,0.67490234375,0.61767578125,0.552734375,0.4630859375,0.3396484375,0.0,0.34833984375,0.478125,0.5712890625,0.6412109375,0.6943359375,0.74736328125,0.787109375,0.8259765625,0.8619140625,0.8955078125,0.925390625,0.9537109375,0.978125,1.0,1.0251953125,1.0453125,1.066015625,1.0830078125,1.1015625,1.120703125,1.1365234375,1.1517578125,1.1662109375,1.1794921875,1.191015625,1.203125,1.2126953125,1.2232421875,1.232421875,1.2404296875,1.2455078125,1.252734375,1.259765625,1.2654296875,1.270703125,1.275390625,1.280859375,1.2853515625,1.2912109375,1.2955078125,1.29921875,1.30234375,1.305859375,1.3080078125,1.3111328125,1.3138671875,1.3162109375,1.3181640625,1.3201171875,1.322265625,1.32421875,1.32578125,1.32734375,1.32890625,1.3296875,1.3310546875,1.3326171875,1.333984375,1.3353515625,1.3361328125,1.337109375,1.3380859375,1.3390625,1.3400390625,1.34140625,1.3419921875,1.3435546875,1.344921875,1.346484375,1.3494140625
