model,block_id,block_name,layer_name,layer_type,weight_shape,weight_bytes,act_bytes,dm_per_exec,cim_rows,cim_cols,cim_max_dim,cim_array_size,is_quantized,seq_len
ldm_ffhq256,11,encoder_layer_11,encoder_layer_11[0].in_layers.conv,conv2d,"(896, 896, 3, 3)",28901376,229376,29130752,8064,896,8064,7225344,False,1
ldm_ffhq256,11,encoder_layer_11,encoder_layer_11[0].emb_layers.linear,linear,"(896, 896)",3211264,3584,3214848,896,896,896,802816,False,1
ldm_ffhq256,11,encoder_layer_11,encoder_layer_11[0].out_layers.conv,conv2d,"(896, 896, 3, 3)",28901376,229376,29130752,8064,896,8064,7225344,False,1
ldm_ffhq256,11,encoder_layer_11,encoder_layer_11[1].qkv,conv1d,"(2688, 896, 1)",9633792,229376,9863168,896,2688,2688,2408448,False,1
ldm_ffhq256,11,encoder_layer_11,encoder_layer_11[1].proj_out,conv1d,"(896, 896, 1)",3211264,229376,3440640,896,896,896,802816,False,1
ldm_ffhq256,12,middle_layer,middle_layer[0].in_layers.conv,conv2d,"(896, 896, 3, 3)",28901376,229376,29130752,8064,896,8064,7225344,False,1
ldm_ffhq256,12,middle_layer,middle_layer[0].emb_layers.linear,linear,"(896, 896)",3211264,3584,3214848,896,896,896,802816,False,1
ldm_ffhq256,12,middle_layer,middle_layer[0].out_layers.conv,conv2d,"(896, 896, 3, 3)",28901376,229376,29130752,8064,896,8064,7225344,False,1
ldm_ffhq256,12,middle_layer,middle_layer[1].qkv,conv1d,"(2688, 896, 1)",9633792,229376,9863168,896,2688,2688,2408448,False,1
ldm_ffhq256,12,middle_layer,middle_layer[1].proj_out,conv1d,"(896, 896, 1)",3211264,229376,3440640,896,896,896,802816,False,1
ldm_ffhq256,12,middle_layer,middle_layer[2].in_layers.conv,conv2d,"(896, 896, 3, 3)",28901376,229376,29130752,8064,896,8064,7225344,False,1
ldm_ffhq256,12,middle_layer,middle_layer[2].emb_layers.linear,linear,"(896, 896)",3211264,3584,3214848,896,896,896,802816,False,1
ldm_ffhq256,12,middle_layer,middle_layer[2].out_layers.conv,conv2d,"(896, 896, 3, 3)",28901376,229376,29130752,8064,896,8064,7225344,False,1
ldm_ffhq256,13,decoder_layer_0,decoder_layer_0[0].in_layers.conv,conv2d,"(896, 1792, 3, 3)",57802752,458752,58261504,16128,896,16128,14450688,False,1
ldm_ffhq256,13,decoder_layer_0,decoder_layer_0[0].emb_layers.linear,linear,"(896, 896)",3211264,3584,3214848,896,896,896,802816,False,1
ldm_ffhq256,13,decoder_layer_0,decoder_layer_0[0].out_layers.conv,conv2d,"(896, 896, 3, 3)",28901376,229376,29130752,8064,896,8064,7225344,False,1
ldm_ffhq256,13,decoder_layer_0,decoder_layer_0[0].skip_connection,conv2d,"(896, 1792, 1, 1)",6422528,458752,6881280,1792,896,1792,1605632,False,1
ldm_ffhq256,13,decoder_layer_0,decoder_layer_0[1].qkv,conv1d,"(2688, 896, 1)",9633792,229376,9863168,896,2688,2688,2408448,False,1
ldm_ffhq256,13,decoder_layer_0,decoder_layer_0[1].proj_out,conv1d,"(896, 896, 1)",3211264,229376,3440640,896,896,896,802816,False,1
ldm_ffhq256,14,decoder_layer_1,decoder_layer_1[0].in_layers.conv,conv2d,"(896, 1792, 3, 3)",57802752,458752,58261504,16128,896,16128,14450688,False,1
ldm_ffhq256,14,decoder_layer_1,decoder_layer_1[0].emb_layers.linear,linear,"(896, 896)",3211264,3584,3214848,896,896,896,802816,False,1
ldm_ffhq256,14,decoder_layer_1,decoder_layer_1[0].out_layers.conv,conv2d,"(896, 896, 3, 3)",28901376,229376,29130752,8064,896,8064,7225344,False,1
ldm_ffhq256,14,decoder_layer_1,decoder_layer_1[0].skip_connection,conv2d,"(896, 1792, 1, 1)",6422528,458752,6881280,1792,896,1792,1605632,False,1
ldm_ffhq256,14,decoder_layer_1,decoder_layer_1[1].qkv,conv1d,"(2688, 896, 1)",9633792,229376,9863168,896,2688,2688,2408448,False,1
ldm_ffhq256,14,decoder_layer_1,decoder_layer_1[1].proj_out,conv1d,"(896, 896, 1)",3211264,229376,3440640,896,896,896,802816,False,1
ldm_ffhq256,15,decoder_layer_2,decoder_layer_2[0].in_layers.conv,conv2d,"(896, 1568, 3, 3)",50577408,401408,50978816,14112,896,14112,12644352,False,1
ldm_ffhq256,15,decoder_layer_2,decoder_layer_2[0].emb_layers.linear,linear,"(896, 896)",3211264,3584,3214848,896,896,896,802816,False,1
ldm_ffhq256,15,decoder_layer_2,decoder_layer_2[0].out_layers.conv,conv2d,"(896, 896, 3, 3)",28901376,229376,29130752,8064,896,8064,7225344,False,1
ldm_ffhq256,15,decoder_layer_2,decoder_layer_2[0].skip_connection,conv2d,"(896, 1568, 1, 1)",5619712,401408,6021120,1568,896,1568,1404928,False,1
ldm_ffhq256,15,decoder_layer_2,decoder_layer_2[1].qkv,conv1d,"(2688, 896, 1)",9633792,229376,9863168,896,2688,2688,2408448,False,1
ldm_ffhq256,15,decoder_layer_2,decoder_layer_2[1].proj_out,conv1d,"(896, 896, 1)",3211264,229376,3440640,896,896,896,802816,False,1
ldm_ffhq256,15,decoder_layer_2,decoder_layer_2[2].upsample,conv2d,"(896, 896, 3, 3)",28901376,917504,29818880,8064,896,8064,7225344,False,1
ldm_ffhq256,16,decoder_layer_3,decoder_layer_3[0].in_layers.conv,conv2d,"(672, 1568, 3, 3)",37933056,1605632,39538688,14112,672,14112,9483264,False,1
ldm_ffhq256,16,decoder_layer_3,decoder_layer_3[0].emb_layers.linear,linear,"(672, 896)",2408448,3584,2412032,896,672,896,602112,False,1
