run,K,sw,lambda,block_id,block_name,num_F,num_R,F_ratio_block,total_cost_J_sum_zones,k_per_zone
sweep_K15_sw3_lam1.0,15,3,1.0,11,model.input_blocks.9,54,146,0.27,4.076835795557212,2;4;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam1.0,15,3,1.0,12,model.middle_block,54,146,0.27,3.8636592157729135,2;4;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam1.0,15,3,1.0,13,model.output_blocks.0,54,146,0.27,4.772928778707236,2;4;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam1.0,15,3,1.0,14,model.output_blocks.1,54,146,0.27,3.905939551589544,2;4;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam1.0,15,3,1.0,15,model.output_blocks.10,54,146,0.27,3.970347525654484,2;4;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam1.0,15,3,1.0,16,model.output_blocks.11,55,145,0.28,4.335733004449742,2;4;3;2;4;4;4;4;4;3;2
sweep_K15_sw3_lam1.0,15,3,1.0,17,model.output_blocks.2,54,146,0.27,3.654249994312106,2;3;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam1.0,15,3,1.0,18,model.output_blocks.3,54,146,0.27,3.654249994312106,2;3;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam1.0,15,3,1.0,19,model.output_blocks.4,54,146,0.27,3.931938346380672,2;4;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam1.0,15,3,1.0,20,model.output_blocks.5,54,146,0.27,4.205226306566942,2;4;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam1.0,15,3,1.0,21,model.output_blocks.6,54,146,0.27,3.7031298812729543,2;4;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam1.0,15,3,1.0,22,model.output_blocks.7,54,146,0.27,4.065834232121596,2;4;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam1.0,15,3,1.0,23,model.output_blocks.8,54,146,0.27,3.7604152391661843,2;4;3;2;4;4;4;4;4;3;3
sweep_K15_sw3_lam1.0,15,3,1.0,24,model.output_blocks.9,54,146,0.27,4.190301002462439,2;4;3;2;4;4;4;4;4;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,0,model.input_blocks.0,56,144,0.28,4.868297775586777,2;3;3;2;4;4;4;4;4;4;3;4;4;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,1,model.input_blocks.1,56,144,0.28,4.868297775586777,2;3;3;2;4;4;4;4;4;4;3;4;4;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,2,model.input_blocks.10,56,144,0.28,4.868297775586777,2;3;3;2;4;4;4;4;4;4;3;4;4;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,3,model.input_blocks.11,56,144,0.28,4.873493745535022,2;4;3;2;4;4;4;4;4;4;3;4;4;3;3
