run,K,sw,lambda,T,B,Z,zone_len_min,zone_len_max,zone_len_mean,change_points_count,merged_zones_count,total_F,total_R,F_ratio,F_mean_per_block,F_std_per_block,R_mean_per_block,cost_mean_per_block,cost_std_per_block,cost_sum_all_blocks,k_mean,k1_count,k2_count,k3_count,k4_count,I_cut_mean,I_cut_std,I_l1cos_mean,I_l1cos_std,Delta_abs_mean,Delta_abs_max
sweep_K15_sw3_lam0.5,15,3,0.5,200,25,11,2,98,18.181818181818183,15,11,1351,3649,0.2702,54.04,0.19595917942265426,145.96,2.057397654585595,0.2554334269918515,51.434941364639876,3.3345454545454545,0,51,81,143,0.11022184507842585,0.07476747186985509,0.12067498835653209,0.057794307135684134,0.003532389183256489,0.07054759298727487
sweep_K15_sw3_lam1.0,15,3,1.0,200,25,11,2,98,18.181818181818183,15,11,1351,3649,0.2702,54.04,0.19595917942265426,145.96,3.891189318408315,0.2647769213986634,97.27973296020788,3.3345454545454545,0,51,81,143,0.11022184507842585,0.07476747186985509,0.12067498835653209,0.057794307135684134,0.003532389183256489,0.07054759298727487
sweep_K20_sw3_lam1.0,20,3,1.0,200,25,15,2,44,13.333333333333334,20,15,1401,3599,0.2802,56.04,0.19595917942265426,143.96,5.187728299568303,0.3665708789406038,129.6932074892076,3.445333333333333,0,51,106,218,0.11022184507842585,0.07476747186985509,0.12067498835653209,0.057794307135684134,0.003532389183256489,0.07054759298727487
