run,K,sw,lambda,zone_id,t_start,t_end,length,candidate_k,k1_count,k2_count,k3_count,k4_count,selected_k_mean,selected_J_mean,selected_J_std,selected_k_per_block
sweep_K20_sw3_lam1.0,20,3,1.0,0,199,198,2,1;2,0,25,0,0,2.0,0.5140559080227025,0.017906467873749558,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K20_sw3_lam1.0,20,3,1.0,1,197,192,6,1;2;3;4,0,0,7,18,3.72,0.3493366134935607,0.01946100360258627,3;3;3;4;4;4;4;3;3;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4
sweep_K20_sw3_lam1.0,20,3,1.0,2,191,186,6,1;2;3;4,0,0,25,0,3.0,0.3471342253782353,0.015657284027857626,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,3,185,184,2,1;2,0,25,0,0,2.0,0.5135395798384953,0.014850510347531235,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K20_sw3_lam1.0,20,3,1.0,4,183,177,7,1;2;3;4,0,0,0,25,4.0,0.3032247261457402,0.020285088139079258,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam1.0,20,3,1.0,5,176,154,23,1;2;3;4,0,0,0,25,4.0,0.280167810367189,0.02035173773706821,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam1.0,20,3,1.0,6,153,147,7,1;2;3;4,0,0,0,25,4.0,0.30233761834586004,0.017285873307880808,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam1.0,20,3,1.0,7,146,130,17,1;2;3;4,0,0,0,25,4.0,0.3127041990426167,0.021667004126975132,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam1.0,20,3,1.0,8,129,104,26,1;2;3;4,0,0,0,25,4.0,0.2894764163255411,0.027243888249015427,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam1.0,20,3,1.0,9,103,90,14,1;2;3;4,0,0,0,25,4.0,0.3068109758774354,0.028678191075757427,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam1.0,20,3,1.0,10,89,87,3,1;2;3,0,0,25,0,3.0,0.35599849837203895,0.031593095205452976,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,11,86,43,44,1;2;3;4,0,0,0,25,4.0,0.27283885155030935,0.03229336418957972,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam1.0,20,3,1.0,12,42,6,37,1;2;3;4,0,0,0,25,4.0,0.2922755185357411,0.02979881873701514,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam1.0,20,3,1.0,13,5,3,3,1;2;3,0,0,25,0,3.0,0.3601674203540117,0.033146781588570574,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
sweep_K20_sw3_lam1.0,20,3,1.0,14,2,0,3,1;2;3,0,1,24,0,2.96,0.3876599379188262,0.08827060240162095,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3
